firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,
SHAY,65,0,95.385,3.077,0,0,1.538,
SHAYLA,42,2.381,64.286,33.333,0,0,0,
SHAYNA,45,2.222,88.889,4.444,4.444,0,0,
SHAYNE,70,0,95.714,1.429,2.857,0,0,
SHEA,67,1.493,91.045,5.97,1.493,0,0,
SHEELA,31,6.452,29.032,0,64.516,0,0,
SHEENA,116,4.31,70.69,16.379,6.897,1.724,0,
SHEILA,2474,1.819,87.146,8.569,2.061,0.04,0.364,
SHEILAH,31,3.226,70.968,16.129,9.677,0,0,
SHELAGH,18,0,100,0,0,0,0,
SHELBY,313,1.278,92.971,5.112,0.319,0,0.319,
SHELDON,294,0.34,85.714,10.544,3.401,0,0,
SHELIA,175,0.571,69.714,29.714,0,0,0,
SHELLEY,1133,0.618,95.057,2.118,1.942,0.088,0.177,
SHELLI,105,1.905,97.143,0.952,0,0,0,
SHELLIE,119,1.681,90.756,5.882,1.681,0,0,
SHELLY,1074,1.024,94.6,1.955,2.048,0.372,0,
SHELTON,39,2.564,48.718,46.154,2.564,0,0,
SHENG,52,1.923,1.923,0,96.154,0,0,
SHEREE,157,0.637,89.172,8.28,1.274,0.637,0,
SHERI,929,0.538,94.941,2.153,1.938,0.323,0.108,
SHERIDAN,29,0,100,0,0,0,0,
SHERIE,62,3.226,93.548,1.613,1.613,0,0,
SHERILYN,57,0,92.982,3.509,3.509,0,0,
SHERMAN,179,1.676,59.218,27.374,11.173,0,0.559,
SHERRI,1144,0.524,93.881,4.371,1.049,0.175,0,
SHERRIE,386,1.295,90.933,6.218,1.295,0.259,0,
SHERRIL,24,0,100,0,0,0,0,
SHERRILL,84,1.19,90.476,4.762,1.19,2.381,0,
SHERRY,2170,0.922,92.442,4.194,2.212,0.138,0.092,
SHERRYL,57,1.754,89.474,7.018,1.754,0,0,
SHERWIN,43,0,67.442,13.953,18.605,0,0,
SHERWOOD,33,0,87.879,12.121,0,0,0,
SHERYL,1210,0.579,93.471,3.719,1.736,0.083,0.413,
SHERYLE,19,0,100,0,0,0,0,
SHI,40,0,0,0,100,0,0,
SHIH,20,0,0,0,100,0,0,
SHILOH,15,0,100,0,0,0,0,
SHILPA,61,1.639,16.393,0,80.328,0,1.639,
SHIN,33,0,9.091,0,90.909,0,0,
SHIRA,36,0,97.222,2.778,0,0,0,
SHIRLEE,52,0,94.231,1.923,3.846,0,0,
SHIRLEY,2986,2.076,80.576,12.257,4.588,0.234,0.268,
SHLOMO,29,0,100,0,0,0,0,
SHMUEL,15,0,100,0,0,0,0,
SHON,37,0,86.486,10.811,2.703,0,0,
SHONDA,32,0,75,21.875,3.125,0,0,
SHU,105,0,1.905,0,98.095,0,0,
SHUANG,20,0,0,0,100,0,0,
SHUI,15,0,0,0,100,0,0,
SHYAM,33,0,21.212,3.03,75.758,0,0,
SI,34,0,11.765,0,88.235,0,0,
SIAMAK,30,0,93.333,0,6.667,0,0,
SIDNEY,407,0.983,81.572,13.268,3.931,0.246,0,
SIEGFRIED,23,0,100,0,0,0,0,
SIERRA,42,2.381,90.476,2.381,2.381,0,2.381,
SIGNE,22,0,100,0,0,0,0,
SIGRID,58,3.448,94.828,1.724,0,0,0,
SILAS,55,7.273,65.455,18.182,5.455,3.636,0,
SILVANA,63,15.873,76.19,0,7.937,0,0,
SILVIA,557,73.609,23.698,1.257,1.077,0.359,0,
SILVIO,48,45.833,52.083,0,0,0,2.083,
SIMA,40,0,80,0,17.5,2.5,0,
SIMEON,39,5.128,51.282,28.205,15.385,0,0,
SIMON,558,9.857,65.591,3.584,20.789,0,0.179,
SIMONA,40,22.5,60,7.5,5,2.5,2.5,
SIMONE,155,6.452,68.387,19.355,3.871,0,1.935,
SIOBHAN,95,0,93.684,4.211,2.105,0,0,
SIU,34,0,2.941,0,97.059,0,0,
SIVAKUMAR,37,0,13.514,0,83.784,0,2.703,
SKY,19,0,100,0,0,0,0,
SKYE,36,5.556,88.889,0,2.778,2.778,0,
SKYLAR,17,0,100,0,0,0,0,
SKYLER,25,0,100,0,0,0,0,
SLAVICA,15,0,100,0,0,0,0,
SLAWOMIR,53,0,100,0,0,0,0,
SLOANE,17,0,100,0,0,0,0,
SLOBODAN,20,0,100,0,0,0,0,
SMITA,53,1.887,16.981,0,81.132,0,0,
SNEZANA,21,0,100,0,0,0,0,
SO,27,0,0,0,100,0,0,
SOCORRO,170,78.824,12.353,0,8.235,0.588,0,
SOFIA,188,48.936,41.489,1.064,7.979,0,0.532,
SOHAIL,45,0,22.222,0,75.556,0,2.222,
SOK,16,0,0,0,100,0,0,
SOLEDAD,64,73.438,6.25,1.563,18.75,0,0,
SOLOMON,116,2.586,35.345,44.828,15.517,1.724,0,
SOMMER,30,6.667,93.333,0,0,0,0,
SON,179,1.117,2.793,0,95.531,0,0.559,
SONA,30,0,70,3.333,26.667,0,0,
SONAL,50,0,20,0,78,2,0,
SONDRA,250,0.4,90.8,7.2,1.6,0,0,
SONG,92,0,5.435,0,94.565,0,0,
SONIA,873,46.048,36.655,7.675,9.393,0.115,0.115,
SONJA,407,1.229,85.995,11.057,1.229,0.246,0.246,
SONNY,104,5.769,39.423,3.846,50.962,0,0,
SONYA,494,6.478,71.862,18.219,2.632,0,0.81,
SOO,83,1.205,3.614,0,93.976,0,1.205,
SOOK,38,0,2.632,0,97.368,0,0,
SOON,103,0,2.913,0,97.087,0,0,
SOPHIA,267,12.36,56.18,14.232,17.228,0,0,
SOPHIE,119,4.202,78.151,5.882,11.765,0,0,
SORAYA,44,20.455,61.364,2.273,9.091,2.273,4.545,
SOREN,17,0,100,0,0,0,0,
SPENCER,433,0.231,88.915,6.005,4.619,0.231,0,
SPIRO,16,0,100,0,0,0,0,
SRIDHAR,64,1.563,10.938,0,87.5,0,0,
SRIKANTH,49,0,10.204,0,89.796,0,0,
SRINIVAS,128,0.781,16.406,0,79.688,0.781,2.344,
SRINIVASA,70,0,4.286,0,94.286,1.429,0,
SRINIVASAN,49,2.041,8.163,0,89.796,0,0,
SRIRAM,34,0,14.706,0,82.353,2.941,0,
STACEY,2141,1.588,93.648,3.27,1.121,0.14,0.234,
STACI,334,1.198,95.21,1.796,1.796,0,0,
STACIA,94,1.064,91.489,3.191,4.255,0,0,
STACIE,520,1.731,95,2.308,0.962,0,0,
STACY,2229,1.122,94.482,2.333,1.525,0.269,0.269,
STAN,181,1.105,91.16,3.315,3.867,0.552,0,
STANFORD,50,0,76,20,4,0,0,
STANISLAV,45,2.222,97.778,0,0,0,0,
STANISLAW,101,0,100,0,0,0,0,
STANISLAWA,19,0,100,0,0,0,0,
STANLEY,2032,1.132,84.843,7.037,6.644,0.049,0.295,
STANTON,41,0,82.927,7.317,7.317,0,2.439,
STARLA,57,1.754,91.228,7.018,0,0,0,
STARR,43,2.326,90.698,6.977,0,0,0,
STAVROS,21,0,100,0,0,0,0,
STEFAN,265,3.019,91.321,1.887,3.396,0,0.377,
STEFANI,63,3.175,93.651,0,1.587,0,1.587,
STEFANIA,18,0,100,0,0,0,0,
STEFANIE,426,1.878,93.662,2.347,1.878,0,0.235,
STEFANO,48,0,97.917,2.083,0,0,0,
STEFFANIE,38,5.263,89.474,5.263,0,0,0,
STEFFANY,15,0,100,0,0,0,0,
STEFFEN,15,0,100,0,0,0,0,
STELLA,392,13.265,57.653,12.755,14.796,0.255,1.276,
STEPAN,22,0,100,0,0,0,0,
STEPHAN,312,0.962,95.513,2.244,0.962,0.321,0,
STEPHANE,44,2.273,88.636,6.818,2.273,0,0,
STEPHANI,48,0,100,0,0,0,0,
STEPHANIE,6382,2.288,91.288,4.309,1.818,0.078,0.219,
STEPHANY,56,3.571,83.929,7.143,1.786,1.786,1.786,
STEPHEN,13940,0.76,96.291,1.112,1.729,0.057,0.05,
STEPHENIE,35,2.857,94.286,0,2.857,0,0,
STERLING,122,0,74.59,20.492,4.918,0,0,
STEVAN,54,3.704,96.296,0,0,0,0,
STEVE,2897,4.833,85.399,2.209,7.214,0.242,0.104,
STEVEN,18797,1.351,95.271,1.181,2.054,0.074,0.069,
STEVIE,35,2.857,57.143,31.429,5.714,0,2.857,
STEWART,340,1.176,93.824,2.353,2.647,0,0,
STUART,1177,0.34,96.602,0.935,2.124,0,0,
SU,81,0,7.407,0,92.593,0,0,
SUBHASH,31,0,9.677,3.226,83.871,3.226,0,
SUDHA,66,1.515,22.727,0,74.242,0,1.515,
SUDHAKAR,34,0,20.588,0,79.412,0,0,
SUDHIR,54,0,11.111,1.852,87.037,0,0,
SUE,1229,0.57,93.409,0.814,5.045,0.163,0,
SUEANN,33,0,84.848,0,6.061,0,9.091,
SUELLEN,39,0,97.436,0,2.564,0,0,
SUK,46,2.174,4.348,2.174,91.304,0,0,
SUKHWINDER,37,5.405,21.622,0,72.973,0,0,
SUMAN,43,0,16.279,0,81.395,2.326,0,
SUMIT,45,0,15.556,0,84.444,0,0,
SUMMER,226,0.885,94.69,2.655,1.77,0,0,
SUN,148,0.676,8.108,0,90.541,0,0.676,
SUNDAY,31,0,61.29,35.484,3.226,0,0,
SUNG,246,0.407,2.439,0,96.748,0,0.407,
SUNIL,205,0,19.512,1.951,77.561,0.976,0,
SUNITA,75,2.667,24,0,72,1.333,0,
SUNNY,131,0,54.962,1.527,41.985,1.527,0,
SUNSHINE,34,0,97.059,2.941,0,0,0,
SUONG,17,0,0,0,100,0,0,
SURENDRA,44,0,18.182,2.273,77.273,2.273,0,
SURESH,175,0,21.143,0.571,77.143,1.143,0,
SURINDER,71,0,22.535,0,73.239,4.225,0,
SUSAN,19604,1.117,96.281,0.5,1.872,0.082,0.148,
SUSANA,291,68.041,21.993,1.031,8.935,0,0,
SUSANN,33,0,90.909,9.091,0,0,0,
SUSANNA,196,9.184,79.082,0,11.735,0,0,
SUSANNAH,75,0,94.667,0,5.333,0,0,
SUSANNE,498,1.004,97.992,0.201,0.803,0,0,
SUSETTE,15,0,100,0,0,0,0,
SUSHIL,37,0,21.622,0,78.378,0,0,
SUSIE,203,9.852,57.635,11.823,20.197,0.493,0,
SUZAN,182,1.099,91.758,3.846,2.747,0,0.549,
SUZANN,61,0,100,0,0,0,0,
SUZANNA,83,8.434,85.542,1.205,4.819,0,0,
SUZANNE,3986,1.455,96.839,0.477,1.154,0,0.075,
SUZETTE,208,5.288,82.212,7.692,4.327,0.481,0,
SUZIE,30,3.333,66.667,3.333,26.667,0,0,
SUZY,34,0,82.353,0,17.647,0,0,
SVEN,52,1.923,96.154,0,1.923,0,0,
SVETLANA,210,0,98.571,0,1.429,0,0,
SWATI,53,0,24.528,0,71.698,3.774,0,
SYBIL,69,1.449,82.609,11.594,1.449,2.899,0,
SYDNEY,179,2.793,83.24,8.939,5.028,0,0,
SYED,289,0.692,23.875,0,74.048,0.692,0.692,
SYLVAIN,16,0,100,0,0,0,0,
SYLVESTER,103,5.825,32.039,60.194,1.942,0,0,
SYLVIA,1420,24.014,58.169,12.113,5.282,0.352,0.07,
SYLVIE,43,0,90.698,4.651,4.651,0,0,
SYLWIA,16,0,100,0,0,0,0,
TABATHA,75,5.333,82.667,9.333,0,0,2.667,
TABITHA,193,3.109,84.974,9.326,1.554,0.518,0.518,
TAD,107,0,95.327,0,4.673,0,0,
TADD,18,0,100,0,0,0,0,
TADEUSZ,71,0,97.183,0,2.817,0,0,
TAE,96,0,3.125,0,96.875,0,0,
TAI,124,0,12.903,1.613,85.484,0,0,
TAK,31,0,3.226,0,96.774,0,0,
TAKASHI,17,0,0,0,100,0,0,
TAL,35,0,97.143,2.857,0,0,0,
TALIA,33,6.061,87.879,6.061,0,0,0,
TALIN,15,0,100,0,0,0,0,
TAM,157,0,5.096,0,94.904,0,0,
TAMA,20,0,100,0,0,0,0,
TAMAR,71,2.817,84.507,9.859,1.408,0,1.408,
TAMARA,1743,1.721,93.001,4.418,0.574,0.115,0.172,
TAMATHA,30,0,86.667,13.333,0,0,0,
TAMEKA,30,0,10,90,0,0,0,
TAMELA,88,2.273,87.5,10.227,0,0,0,
TAMERA,163,0,95.092,4.908,0,0,0,
TAMI,551,1.633,96.37,0.726,1.089,0,0.181,
TAMIE,34,2.941,94.118,2.941,0,0,0,
TAMIKA,82,3.659,7.317,89.024,0,0,0,
TAMMI,167,1.198,95.808,2.994,0,0,0,
TAMMIE,281,1.779,86.477,9.253,2.135,0.356,0,
TAMMY,2916,1.578,92.421,2.846,2.743,0.171,0.24,
TAMRA,195,0.513,96.923,2.051,0.513,0,0,
TAN,111,0,5.405,0,94.595,0,0,
TANA,100,2,94,3,1,0,0,
TANIA,245,22.449,69.796,2.857,4.898,0,0,
TANISHA,42,0,19.048,80.952,0,0,0,
TANJA,71,2.817,88.732,8.451,0,0,0,
TANNER,54,1.852,96.296,0,1.852,0,0,
TANYA,1069,3.648,81.946,10.664,2.9,0.468,0.374,
TAO,96,0,2.083,0,96.875,0,1.042,
TARA,1828,0.93,94.365,3.228,1.313,0.055,0.109,
TAREK,55,0,87.273,1.818,9.091,0,1.818,
TARI,31,0,93.548,6.452,0,0,0,
TARIQ,58,1.724,36.207,1.724,58.621,1.724,0,
TARUN,31,0,16.129,0,83.871,0,0,
TARYN,125,0,92,4,4,0,0,
TASHA,145,2.069,73.103,22.759,2.069,0,0,
TATE,31,3.226,90.323,0,3.226,3.226,0,
TATIANA,144,9.722,84.028,4.167,2.083,0,0,
TATUM,16,0,100,0,0,0,0,
TATYANA,165,0.606,97.576,0,1.212,0.606,0,
TAUNYA,22,0,100,0,0,0,0,
TAWNY,30,3.333,93.333,0,3.333,0,0,
TAWNYA,55,1.818,94.545,3.636,0,0,0,
TAYLOR,326,1.534,95.399,1.227,1.84,0,0,
TED,763,1.311,89.384,1.704,7.208,0.393,0,
TEDD,37,0,94.595,0,5.405,0,0,
TEDDY,158,6.962,75.316,4.43,12.658,0,0.633,
TEENA,68,0,95.588,1.471,2.941,0,0,
TENA,50,4,88,4,4,0,0,
TEODORA,40,32.5,45,0,22.5,0,0,
TEODORO,66,69.697,10.606,0,18.182,1.515,0,
TEOFILO,30,66.667,20,0,13.333,0,0,
TERA,74,2.703,91.892,4.054,1.351,0,0,
TERENCE,460,0.435,86.304,8.043,4.565,0.217,0.435,
TERESA,5068,11.089,83.268,2.802,2.506,0.237,0.099,
TERESE,121,3.306,94.215,0.826,1.653,0,0,
TERESITA,200,19.5,18.5,1,60,0.5,0.5,
TERESSA,32,0,87.5,12.5,0,0,0,
TERI,681,1.762,93.979,2.056,1.615,0.441,0.147,
TERRA,92,0,92.391,6.522,1.087,0,0,
TERRANCE,456,0.439,81.579,15.132,2.412,0,0.439,
TERRELL,106,0,61.321,37.736,0,0,0.943,
TERRENCE,718,0.557,86.908,9.471,2.646,0.139,0.279,
TERRI,1815,1.212,93.884,3.085,1.543,0.165,0.11,
TERRIE,206,1.456,92.718,4.369,0.971,0,0.485,
TERRILL,36,0,83.333,13.889,2.778,0,0,
TERRY,4864,0.72,93.195,4.235,1.357,0.267,0.226,
TERYL,19,0,100,0,0,0,0,
TESSA,96,1.042,93.75,2.083,3.125,0,0,
TETYANA,20,0,100,0,0,0,0,
THAD,111,0.901,95.495,1.802,0.901,0,0.901,
THADDEUS,150,0.667,92.667,6,0,0.667,0,
THAI,90,2.222,1.111,1.111,94.444,0,1.111,
THANG,87,0,2.299,0,97.701,0,0,
THANH,373,0.268,1.34,0,98.123,0,0.268,
THAO,103,0,5.825,0,94.175,0,0,
THEA,76,2.632,86.842,6.579,3.947,0,0,
THELMA,395,13.924,55.696,21.266,8.608,0,0.506,
THEO,36,5.556,69.444,11.111,13.889,0,0,
THEODORA,64,4.688,87.5,7.813,0,0,0,
THEODORE,1742,1.32,89.782,5.97,2.526,0.23,0.172,
THERESA,4117,3.643,89.798,4.008,2.235,0.194,0.121,
THERESE,524,1.145,95.229,0.763,2.29,0,0.573,
THERON,57,0,91.228,5.263,0,1.754,1.754,
THI,47,0,6.383,0,93.617,0,0,
THIEN,64,1.563,0,0,98.438,0,0,
THIERRY,32,0,84.375,6.25,9.375,0,0,
THINH,59,0,1.695,0,98.305,0,0,
THO,44,2.273,4.545,0,93.182,0,0,
THOMAS,27408,0.974,95.917,1.31,1.569,0.113,0.117,
THONG,62,0,0,0,100,0,0,
THOR,44,0,95.455,0,2.273,2.273,0,
THU,99,0,6.061,0,92.929,0,1.01,
THUAN,70,0,1.429,0,97.143,0,1.429,
THUC,17,0,0,0,100,0,0,
THURMAN,35,0,71.429,25.714,0,2.857,0,
THUY,212,0.472,4.245,0.472,94.811,0,0,
TIA,127,0,74.016,18.898,6.299,0,0.787,
TIAN,35,0,0,2.857,97.143,0,0,
TIBOR,37,2.703,89.189,0,5.405,2.703,0,
TIEN,97,2.062,4.124,0,93.814,0,0,
TIFFANI,97,3.093,84.536,9.278,3.093,0,0,
TIFFANIE,50,2,82,10,6,0,0,
TIFFANY,1833,1.418,82.433,10.202,5.292,0.327,0.327,
TIM,987,1.216,90.881,1.114,6.687,0.101,0,
TIMMY,72,2.778,80.556,5.556,11.111,0,0,
TIMOTHY,14467,0.691,96.274,1.763,1.044,0.138,0.09,
TIN,72,0,4.167,0,95.833,0,0,
TINA,2653,2.299,88.164,3.204,5.993,0.188,0.151,
TING,59,0,5.085,0,93.22,0,1.695,
TINH,27,0,0,0,100,0,0,
TISHA,69,2.899,79.71,14.493,1.449,0,1.449,
TITO,37,45.946,13.514,0,40.541,0,0,
TITUS,34,0,55.882,26.471,17.647,0,0,
TOAN,59,0,3.39,0,96.61,0,0,
TOBIAS,88,10.227,86.364,2.273,1.136,0,0,
TOBIN,58,1.724,94.828,0,1.724,0,1.724,
TOBY,324,1.852,92.901,2.778,2.16,0.309,0,
TOD,162,0.617,98.765,0,0.617,0,0,
TODD,5722,0.402,97.885,0.944,0.664,0.087,0.017,
TOM,963,0.935,82.035,1.038,15.472,0.312,0.208,
TOMAS,307,67.427,25.407,0.977,6.189,0,0,
TOMASZ,101,0.99,98.02,0,0.99,0,0,
TOMEKA,19,0,0,100,0,0,0,
TOMI,30,3.333,86.667,0,6.667,3.333,0,
TOMISLAV,16,0,100,0,0,0,0,
TOMMIE,130,3.846,61.538,32.308,1.538,0.769,0,
TOMMY,703,3.556,73.826,8.819,13.087,0.711,0,
TONG,74,0,0,0,98.649,0,1.351,
TONI,954,2.83,87.002,8.386,1.048,0.524,0.21,
TONIA,156,3.205,78.846,17.308,0.641,0,0,
TONJA,59,0,83.051,15.254,0,1.695,0,
TONY,1692,6.915,63.002,8.57,21.099,0.355,0.059,
TONYA,898,0.891,83.519,14.699,0.445,0.223,0.223,
TORI,89,1.124,92.135,5.618,1.124,0,0,
TORREY,37,2.703,72.973,24.324,0,0,0,
TORY,60,0,90,5,3.333,1.667,0,
TOSHA,31,0,67.742,32.258,0,0,0,
TRACE,33,3.03,90.909,6.061,0,0,0,
TRACEE,40,0,87.5,10,2.5,0,0,
TRACEY,1249,0.801,89.752,8.407,0.881,0,0.16,
TRACI,721,0.555,93.065,4.577,1.664,0.139,0,
TRACIE,383,1.044,90.339,6.789,1.567,0,0.261,
TRACY,4122,0.995,92.334,4.246,2.135,0.146,0.146,
TRAM,33,0,6.061,0,93.939,0,0,
TRAN,32,0,0,0,100,0,0,
TRANG,116,0,4.31,0,94.828,0,0.862,
TRAVIS,1908,0.734,94.235,3.564,0.996,0.419,0.052,
TRENA,40,2.5,82.5,12.5,0,2.5,0,
TRENT,314,0,97.134,1.592,1.274,0,0,
TRENTON,87,0,91.954,5.747,2.299,0,0,
TRESA,36,0,94.444,5.556,0,0,0,
TRESSA,43,0,88.372,11.628,0,0,0,
TREVA,41,0,80.488,19.512,0,0,0,
TREVOR,667,0.9,92.204,5.697,0.9,0,0.3,
TREY,33,0,93.939,3.03,3.03,0,0,
TRI,128,0,3.125,0,96.875,0,0,
TRICIA,596,2.013,92.282,3.02,2.181,0.168,0.336,
TRINA,308,3.571,76.623,15.909,3.247,0.325,0.325,
TRINH,57,0,3.509,0,96.491,0,0,
TRINIDAD,97,83.505,10.309,0,6.186,0,0,
TRINITY,32,0,90.625,3.125,6.25,0,0,
TRISH,37,0,97.297,0,2.703,0,0,
TRISHA,404,1.98,95.05,1.238,1.485,0.248,0,
TRISTA,50,0,94,4,0,2,0,
TRISTAN,83,1.205,83.133,4.819,10.843,0,0,
TRONG,21,0,0,0,100,0,0,
TROY,1890,0.847,92.381,5.556,1.058,0.106,0.053,
TRUC,30,0,3.333,0,93.333,0,3.333,
TRUDI,39,0,97.436,2.564,0,0,0,
TRUDIE,18,0,100,0,0,0,0,
TRUDY,314,0.955,93.949,3.503,1.592,0,0,
TRUMAN,51,3.922,92.157,3.922,0,0,0,
TRUNG,126,0,0,0,100,0,0,
TRUONG,41,0,0,0,100,0,0,
TU,83,1.205,0,0,97.59,0,1.205,
TUAN,259,0.386,2.317,0,96.911,0,0.386,
TUCKER,36,0,100,0,0,0,0,
TUNG,93,0,2.151,0,97.849,0,0,
TUSHAR,40,0,17.5,0,77.5,5,0,
TUYEN,41,2.439,0,0,97.561,0,0,
TUYET,41,0,4.878,0,92.683,0,2.439,
TWILA,58,3.448,91.379,5.172,0,0,0,
TWYLA,44,0,88.636,9.091,0,0,2.273,
TY,230,0.435,83.478,1.739,13.913,0.435,0,
TYE,30,0,93.333,0,6.667,0,0,
TYLER,1063,0.847,97.648,0.188,0.847,0.282,0.188,
TYRA,46,0,67.391,32.609,0,0,0,
TYRONE,262,3.817,32.061,59.542,4.198,0,0.382,
TYSON,190,1.053,93.158,2.632,2.632,0,0.526,
TZVI,15,0,100,0,0,0,0,
UBALDO,36,91.667,5.556,0,2.778,0,0,
UDAY,32,0,21.875,0,78.125,0,0,
UDO,18,0,100,0,0,0,0,
ULISES,39,89.744,10.256,0,0,0,0,
ULRIKE,25,0,100,0,0,0,0,
ULYSSES,45,17.778,15.556,46.667,17.778,2.222,0,
UMA,53,0,15.094,0,83.019,1.887,0,
UMESH,37,0,10.811,0,89.189,0,0,
URIEL,60,78.333,16.667,1.667,1.667,1.667,0,
URSULA,200,6,83,9,1.5,0,0.5,
URSZULA,22,0,100,0,0,0,0,
USHA,88,0,25,0,69.318,3.409,2.273,
UT,17,0,0,0,100,0,0,
UTE,19,0,100,0,0,0,0,
UWE,20,0,100,0,0,0,0,
VADIM,109,0.917,96.33,0,2.752,0,0,
VAHAN,16,0,100,0,0,0,0,
VAHE,37,0,100,0,0,0,0,
VAHIK,15,0,100,0,0,0,0,
VAISHALI,37,0,18.919,2.703,75.676,2.703,0,
VAL,82,1.22,92.683,2.439,3.659,0,0,
VALARIE,111,3.604,74.775,21.622,0,0,0,
VALENTIN,128,43.75,50,1.563,2.344,2.344,0,
VALENTINA,119,13.445,83.193,0,3.361,0,0,
VALENTINE,45,15.556,60,11.111,13.333,0,0,
VALERI,39,2.564,97.436,0,0,0,0,
VALERIA,74,24.324,55.405,20.27,0,0,0,
VALERIE,2666,3.826,86.647,7.539,1.688,0.113,0.188,
VALERIY,47,0,97.872,0,2.128,0,0,
VALERY,53,0,88.679,11.321,0,0,0,
VALORIE,71,0,91.549,8.451,0,0,0,
VAN,339,1.77,46.313,5.015,46.608,0,0.295,
VANCE,184,0.543,89.674,5.435,3.261,0.543,0.543,
VANDANA,39,0,10.256,0,89.744,0,0,
VANESSA,1066,15.76,63.415,15.947,4.034,0.281,0.563,
VARSHA,36,0,22.222,2.778,75,0,0,
VASILE,40,2.5,95,0,2.5,0,0,
VASILIKI,23,0,100,0,0,0,0,
VASILIOS,40,2.5,97.5,0,0,0,0,
VASILIY,38,2.632,97.368,0,0,0,0,
VASYL,25,0,100,0,0,0,0,
VAUGHN,127,0,88.189,10.236,1.575,0,0,
VEENA,45,0,20,0,77.778,2.222,0,
VELMA,145,11.724,51.034,33.793,2.069,0.69,0.69,
VENESSA,32,18.75,56.25,25,0,0,0,
VENKAT,42,0,23.81,0,71.429,4.762,0,
VENKATA,104,0,15.385,0.962,81.731,0.962,0.962,
VENKATESH,43,0,13.953,0,86.047,0,0,
VENUS,55,12.727,41.818,20,23.636,1.818,0,
VERA,410,3.171,74.634,17.561,4.146,0.244,0.244,
VERN,72,0,90.278,5.556,4.167,0,0,
VERNA,163,1.84,73.62,20.245,3.681,0.613,0,
VERNE,34,0,97.059,0,2.941,0,0,
VERNON,637,1.099,79.592,15.856,3.454,0,0,
VERONICA,1500,40.133,46.667,10.2,2.8,0.2,0,
VERONIKA,37,8.108,91.892,0,0,0,0,
VERONIQUE,37,2.703,81.081,16.216,0,0,0,
VICENTE,213,82.629,5.634,0,11.737,0,0,
VICKEY,41,0,92.683,7.317,0,0,0,
VICKI,1909,0.838,95.443,2.043,1.467,0.21,0,
VICKIE,908,1.432,92.181,5.286,0.771,0.11,0.22,
VICKY,504,4.167,84.325,1.587,9.325,0.198,0.397,
VICTOR,2896,40.711,47.479,4.869,6.768,0.069,0.104,
VICTORIA,2754,8.424,83.515,3.74,3.704,0.327,0.29,
VIDA,48,2.083,70.833,18.75,6.25,2.083,0,
VIDAL,34,70.588,14.706,8.824,5.882,0,0,
VIDYA,35,0,28.571,0,71.429,0,0,
VIEN,18,0,0,0,100,0,0,
VIET,65,0,0,0,100,0,0,
VIJAY,193,0,18.135,0,78.756,2.591,0.518,
VIJAYA,65,1.538,18.462,0,80,0,0,
VIKAS,65,0,27.692,0,72.308,0,0,
VIKI,40,0,95,0,2.5,0,2.5,
VIKKI,83,1.205,90.361,4.819,3.614,0,0,
VIKRAM,65,1.538,23.077,0,75.385,0,0,
VIKTOR,94,1.064,97.872,0,1.064,0,0,
VILMA,145,53.793,24.828,6.207,15.172,0,0,
VINAY,65,0,6.154,0,92.308,1.538,0,
VINCE,186,5.376,76.344,3.226,13.978,0.538,0.538,
VINCENT,2796,4.149,81.938,5.508,8.047,0.072,0.286,
VINCENZA,34,2.941,97.059,0,0,0,0,
VINCENZO,102,1.961,98.039,0,0,0,0,
VINH,155,0,2.581,0,97.419,0,0,
VINOD,90,0,23.333,1.111,73.333,2.222,0,
VIOLA,131,19.847,46.565,26.718,3.817,2.29,0.763,
VIOLET,170,5.882,68.235,18.824,7.059,0,0,
VIOLETA,87,45.977,27.586,0,25.287,0,1.149,
VIOLETTA,19,0,100,0,0,0,0,
VIPUL,48,4.167,20.833,0,70.833,4.167,0,
VIRGIL,249,0.803,87.55,10.04,1.205,0,0.402,
VIRGILIO,85,30.588,16.471,0,52.941,0,0,
VIRGINA,32,3.125,93.75,0,3.125,0,0,
VIRGINIA,3057,9.585,83.775,3.664,2.65,0.131,0.196,
VISHAL,55,0,20,0,80,0,0,
VITA,32,0,90.625,3.125,6.25,0,0,
VITALIY,51,0,98.039,0,1.961,0,0,
VITALY,28,0,100,0,0,0,0,
VITO,168,1.786,97.024,0,0.595,0,0.595,
VIVEK,115,0,20,0.87,77.391,0,1.739,
VIVIAN,829,9.288,62.726,14.113,13.631,0.241,0,
VIVIANA,52,73.077,23.077,1.923,1.923,0,0,
VIVIEN,34,0,70.588,2.941,20.588,0,5.882,
VLADIMIR,378,5.291,91.799,1.852,1.058,0,0,
VLADISLAV,35,0,100,0,0,0,0,
VOLODYMYR,30,3.333,96.667,0,0,0,0,
VON,46,2.174,73.913,13.043,10.87,0,0,
VONDA,58,0,94.828,5.172,0,0,0,
VU,101,0,3.96,0.99,94.059,0,0.99,
VYACHESLAV,35,0,100,0,0,0,0,
WADE,566,0.353,94.7,2.827,1.767,0.177,0.177,
WAI,156,0,1.282,0,98.718,0,0,
WALDEMAR,50,6,94,0,0,0,0,
WALID,38,0,92.105,0,7.895,0,0,
WALKER,35,0,97.143,0,2.857,0,0,
WALLACE,359,1.114,84.401,7.799,6.128,0.279,0.279,
WALLY,45,2.222,77.778,6.667,13.333,0,0,
WALT,43,0,97.674,2.326,0,0,0,
