firstname,obs,pcthispanic,pctwhite,pctblack,pctapi,pctaian,pct2prace,
MERRI,41,0,97.561,0,0,0,2.439,
MERRIE,48,0,100,0,0,0,0,
MERRILEE,32,3.125,93.75,0,0,3.125,0,
MERRILL,112,0,99.107,0.893,0,0,0,
MERRITT,46,2.174,97.826,0,0,0,0,
MERRY,89,1.124,93.258,1.124,4.494,0,0,
MERVIN,53,1.887,73.585,15.094,7.547,1.887,0,
MERYL,67,0,98.507,0,1.493,0,0,
MI,116,0,4.31,0.862,94.828,0,0,
MIA,153,6.536,63.399,22.222,6.536,0,1.307,
MIAO,16,0,0,0,100,0,0,
MICA,23,0,100,0,0,0,0,
MICAELA,55,67.273,30.909,0,1.818,0,0,
MICAH,282,0.709,93.972,3.191,2.128,0,0,
MICAHEL,35,0,100,0,0,0,0,
MICHAEL,59532,1.693,94.363,2.142,1.592,0.092,0.118,
MICHAELA,125,1.6,93.6,2.4,2.4,0,0,
MICHAELENE,17,0,100,0,0,0,0,
MICHAL,110,0.909,98.182,0,0.909,0,0,
MICHALE,17,0,100,0,0,0,0,
MICHEAL,170,1.765,87.647,10,0.588,0,0,
MICHEL,184,9.783,83.152,5.978,1.087,0,0,
MICHELE,3456,1.62,94.705,2.604,0.868,0.116,0.087,
MICHELINE,35,2.857,88.571,8.571,0,0,0,
MICHELL,32,3.125,90.625,3.125,3.125,0,0,
MICHELLE,9906,3.049,90.682,3.402,2.584,0.151,0.131,
MICKEY,195,2.564,87.179,5.128,4.615,0.513,0,
MICKIE,21,0,100,0,0,0,0,
MIECZYSLAW,21,0,100,0,0,0,0,
MIGDALIA,43,76.744,23.256,0,0,0,0,
MIGUEL,1768,92.025,6.165,0.566,1.131,0.113,0,
MIHAELA,35,5.714,94.286,0,0,0,0,
MIHAI,36,0,97.222,0,2.778,0,0,
MIHAIL,18,0,100,0,0,0,0,
MIKAEL,21,0,100,0,0,0,0,
MIKE,1084,5.996,81.55,0.738,11.716,0,0,
MIKEL,80,1.25,91.25,3.75,3.75,0,0,
MIKHAIL,176,0,96.591,0,2.841,0.568,0,
MIKKI,25,0,100,0,0,0,0,
MILA,56,3.571,55.357,1.786,39.286,0,0,
MILAGROS,138,50,13.768,0.725,34.783,0.725,0,
MILAN,102,0,84.314,0,12.745,2.941,0,
MILDRED,597,7.705,69.179,17.923,4.69,0.168,0.335,
MILENA,46,10.87,86.957,0,2.174,0,0,
MILES,227,0.441,88.987,4.405,5.727,0,0.441,
MILIND,38,0,23.684,2.632,73.684,0,0,
MILLARD,52,1.923,90.385,5.769,1.923,0,0,
MILLICENT,60,3.333,65,25,5,0,1.667,
MILLIE,63,1.587,74.603,12.698,11.111,0,0,
MILO,53,5.66,84.906,3.774,1.887,3.774,0,
MILOS,15,0,100,0,0,0,0,
MILTON,511,14.677,62.622,17.417,5.284,0,0,
MIMI,113,1.77,58.407,1.77,38.053,0,0,
MIN,226,0,1.327,0,98.673,0,0,
MINA,124,3.226,64.516,5.645,25.806,0,0.806,
MINDI,63,0,100,0,0,0,0,
MINDY,501,1.796,91.218,0.2,6.587,0.2,0,
MINERVA,122,59.016,19.672,4.918,16.393,0,0,
MING,238,0.84,1.681,0,97.059,0,0.42,
MINH,323,0.619,1.238,0,97.833,0,0.31,
MINNIE,90,1.111,45.556,48.889,4.444,0,0,
MIRA,52,1.923,76.923,3.846,17.308,0,0,
MIRANDA,223,4.484,84.305,5.83,5.381,0,0,
MIRCEA,29,0,100,0,0,0,0,
MIREILLE,32,3.125,65.625,28.125,3.125,0,0,
MIRELA,29,0,100,0,0,0,0,
MIREYA,56,82.143,14.286,1.786,1.786,0,0,
MIRIAM,696,29.741,63.649,3.592,2.73,0.144,0.144,
MIRNA,96,82.292,16.667,0,1.042,0,0,
MIROSLAW,39,0,100,0,0,0,0,
MISAEL,42,88.095,7.143,0,4.762,0,0,
MISTI,70,0,94.286,1.429,1.429,2.857,0,
MISTY,501,0.998,96.407,1.796,0.2,0.399,0.2,
MITCH,80,1.25,95,0,2.5,0,1.25,
MITCHEL,80,2.5,91.25,3.75,2.5,0,0,
MITCHELL,1291,1.549,93.338,2.943,1.704,0.232,0.232,
MITRA,41,4.878,68.293,4.878,19.512,2.439,0,
MITZI,158,5.063,86.709,3.165,4.43,0,0.633,
MODESTO,50,84,0,0,16,0,0,
MOHAMAD,97,1.031,80.412,1.031,16.495,0,1.031,
MOHAMED,265,1.887,58.113,11.321,26.038,2.264,0.377,
MOHAMMAD,614,0.489,46.906,0.814,49.511,1.303,0.977,
MOHAMMED,421,0.95,36.817,4.513,54.632,2.85,0.238,
MOHAN,110,1.818,18.182,0,78.182,1.818,0,
MOHSEN,59,0,86.441,0,13.559,0,0,
MOIRA,115,2.609,94.783,0.87,1.739,0,0,
MOISES,194,86.598,8.247,0,4.639,0.515,0,
MOLLIE,130,1.538,95.385,3.077,0,0,0,
MOLLY,1008,0.992,96.032,0.595,2.083,0,0.298,
MONA,392,4.337,75.51,6.378,13.52,0,0.255,
MONICA,2490,19.398,69.759,7.309,3.173,0.161,0.201,
MONIKA,285,1.754,87.368,1.404,8.772,0.351,0.351,
MONIQUE,458,8.297,62.882,24.017,3.712,0,1.092,
MONROE,30,0,63.333,36.667,0,0,0,
MONTE,225,1.778,94.667,3.111,0.444,0,0,
MONTGOMERY,34,0,97.059,0,2.941,0,0,
MONTY,155,3.226,93.548,0,1.935,1.29,0,
MOON,37,2.703,8.108,0,89.189,0,0,
MORDECHAI,23,0,100,0,0,0,0,
MORGAN,416,0.721,93.51,1.683,3.846,0.24,0,
MORRIS,272,1.103,81.985,14.338,2.206,0.368,0,
MORTON,67,1.493,92.537,2.985,2.985,0,0,
MOSES,104,12.5,40.385,35.577,11.538,0,0,
MOSHE,80,0,97.5,0,2.5,0,0,
MOSTAFA,31,3.226,70.968,0,25.806,0,0,
MU,22,0,0,0,100,0,0,
MUHAMMAD,217,0,36.866,3.687,57.604,0.461,1.382,
MUKESH,70,1.429,22.857,0,72.857,2.857,0,
MURALI,50,0,12,0,86,2,0,
MURAT,35,0,97.143,2.857,0,0,0,
MURIEL,158,3.165,75.316,18.987,1.899,0,0.633,
MURRAY,170,0,97.647,2.353,0,0,0,
MUSTAFA,68,0,75,7.353,17.647,0,0,
MY,79,0,5.063,1.266,93.671,0,0,
MYKHAYLO,17,0,100,0,0,0,0,
MYLES,85,1.176,89.412,5.882,3.529,0,0,
MYONG,49,2.041,16.327,0,79.592,0,2.041,
MYRA,322,6.522,76.708,9.627,6.832,0.311,0,
MYRIAM,54,42.593,42.593,9.259,5.556,0,0,
MYRNA,327,18.043,59.939,4.281,16.82,0,0.917,
MYRON,266,0.376,83.835,12.406,2.632,0.376,0.376,
MYRTLE,77,0,55.844,40.26,2.597,1.299,0,
MYUNG,81,0,0,0,100,0,0,
NABIL,96,3.125,85.417,1.042,10.417,0,0,
NADA,49,2.041,95.918,0,2.041,0,0,
NADEEM,36,0,36.111,2.778,58.333,0,2.778,
NADER,96,0,88.542,0,11.458,0,0,
NADEZHDA,38,0,100,0,0,0,0,
NADIA,206,11.165,66.99,8.252,12.136,0.485,0.971,
NADINE,411,1.703,81.752,11.192,4.623,0.243,0.487,
NAI,24,0,0,0,100,0,0,
NALINI,32,0,43.75,6.25,50,0,0,
NAM,122,0,0.82,0,99.18,0,0,
NAN,122,0.82,68.033,0.82,29.508,0.82,0,
NANCEE,23,0,100,0,0,0,0,
NANCI,104,7.692,91.346,0.962,0,0,0,
NANCIE,36,2.778,88.889,2.778,2.778,2.778,0,
NANCY,11532,3.59,93.158,0.85,2.185,0.113,0.104,
NANETTE,279,2.509,88.172,2.867,6.452,0,0,
NANG,16,0,0,0,100,0,0,
NANNETTE,80,3.75,90,5,0,1.25,0,
NAOMI,488,7.377,75.82,7.992,8.197,0.41,0.205,
NAPOLEON,33,27.273,18.182,36.364,18.182,0,0,
NARCISO,31,58.065,19.355,0,22.581,0,0,
NARENDRA,54,0,12.963,0,87.037,0,0,
NARESH,54,0,16.667,1.852,79.63,1.852,0,
NARINDER,52,0,11.538,0,86.538,1.923,0,
NASSER,41,0,75.61,0,21.951,0,2.439,
NATALIA,225,22.222,72.889,2.222,2.222,0.444,0,
NATALIE,1580,4.177,89.747,4.367,1.203,0.316,0.19,
NATALIYA,70,1.429,98.571,0,0,0,0,
NATALYA,91,1.099,96.703,0,2.198,0,0,
NATASHA,372,4.032,68.817,23.387,3.226,0.269,0.269,
NATE,32,0,100,0,0,0,0,
NATHALIE,85,8.235,72.941,11.765,5.882,0,1.176,
NATHAN,2864,0.873,94.309,2.235,2.13,0.244,0.209,
NATHANAEL,72,2.778,88.889,4.167,4.167,0,0,
NATHANIEL,723,1.383,73.721,22.545,1.936,0.277,0.138,
NATIVIDAD,66,57.576,10.606,0,31.818,0,0,
NAVEEN,59,5.085,25.424,0,69.492,0,0,
NAVIN,32,0,15.625,3.125,78.125,3.125,0,
NEAL,675,0.296,95.704,0.889,2.815,0.296,0,
NED,120,4.167,87.5,5.833,2.5,0,0,
NEDRA,42,0,83.333,16.667,0,0,0,
NEELAM,37,0,27.027,0,70.27,2.703,0,
NEENA,34,2.941,47.059,0,50,0,0,
NEERAJ,45,0,17.778,0,82.222,0,0,
